URL,https://www.schlauewelpe.de,2025-01-31 20:02:56.470407,Error: module 'whois' has no attribute 'whois'
URL,https://www.supersafefx.com,2025-01-31 20:08:26.920475,Error: module 'whois' has no attribute 'query'
URL,https://www.safe-tfb.com,2025-01-31 20:14:57.593055,Domain appears legitimate.
URL,https://www.safe-tfb.com,2025-01-31 20:15:03.578767,Domain appears legitimate.
URL,warego.com,2025-01-31 20:17:49.250314,Domain appears legitimate.
URL,warego.com,2025-01-31 20:18:00.064875,Domain appears legitimate.
IP,185.220.101.18,2025-01-31 20:20:22.670861,Potentially suspicious IP. No valid DNS record.
URL,ypgxp.info,2025-01-31 20:23:48.549887,Warning: Domain is newly registered (less than 30 days).
URL,vieworder-amzn.cc,2025-01-31 20:25:07.087771,Warning: Domain is newly registered (less than 30 days).
URL,oturiy.com,2025-01-31 20:26:01.911991,Warning: Domain is newly registered (less than 30 days).
IP,188.114.96.3,2025-01-31 20:26:18.497941,Potentially suspicious IP. No valid DNS record.
IP,104.21.82.254,2025-01-31 20:26:33.046367,Potentially suspicious IP. No valid DNS record.
IP,104.21.82.254,2025-01-31 20:38:32.308624,Suspicious: IP is not reachable!
IP,104.21.82.254,2025-01-31 20:38:36.836164,Suspicious: IP is not reachable!
URL,rsepf.info,2025-01-31 21:02:32.339110,"⚠ Warning: Domain is newly registered (less than 30 days).
✔ DNS records found: 104.21.64.3
🔍 Open Google to check: https://www.google.com/search?q=rsepf.info+scam+phishing+report"
